50
50
1 1
48 48
1	6	
1	34	
1	37	
1	41	
1	43	
1	48	
1	50	
2	42	
2	45	
3	5	
3	22	
4	18	
4	42	
4	45	
5	9	
5	22	
5	26	
6	17	
6	34	
6	50	
7	46	
8	11	
8	26	
9	11	
9	14	
10	18	
10	36	
10	45	
11	27	
12	21	
12	24	
12	38	
13	18	
14	22	
14	26	
14	31	
15	24	
15	29	
15	32	
15	44	
16	19	
16	28	
16	47	
17	37	
17	43	
19	25	
19	33	
19	47	
20	24	
20	32	
20	38	
20	39	
20	44	
20	49	
21	38	
21	39	
23	37	
23	41	
23	48	
24	29	
24	30	
24	32	
24	39	
24	40	
24	44	
25	28	
25	33	
25	35	
25	47	
26	31	
29	30	
29	38	
29	40	
30	38	
30	39	
32	39	
32	40	
32	44	
32	49	
33	35	
33	47	
34	50	
35	46	
37	41	
37	43	
37	48	
38	40	
38	49	
39	40	
39	49	
40	49	
41	48	
41	50	
43	48	
